Actual,Predicted_Mean,Predicted_Std
7.94,35.161343,11.159032
33.7,42.210045,6.562968
20.84,28.688593,18.207844
91.9,47.203583,11.387719
42.2,70.768875,5.383728
22.895,56.238873,6.0796547
93.85,70.768875,5.383728
7.335,17.448746,9.156769
70.06,67.22631,8.391151
51.4,56.654957,5.008091
33.6,28.87713,10.260928
50.985,39.15105,11.8920145
43.195,44.852062,12.107995
15.75837349,13.514043,2.9690313
97.25,80.00169,11.813554
45.615,46.823032,6.1765785
38.38,36.733646,5.9791994
6.645,11.096842,4.5681467
3.066854766,9.080674,6.2506294
34.94,89.67051,7.3925915
217.695,147.1328,24.015985
0.319659338,9.160602,4.6496058
59.831,37.500896,14.575217
46.1399,59.31877,6.575419
109.42,69.95891,30.733944
21.40876136,8.639087,2.7826812
1.79496278,8.337858,5.800003
30.86,22.420715,6.3711133
23.075,61.22325,12.045494
48.4,42.210045,6.562968
33.415,25.628717,8.999044
13.475,20.033892,7.4100533
67.7,80.00169,11.813554
41.266,38.127907,10.332892
4.6,74.96969,21.277527
4.3934079,6.948861,4.597619
84.15,65.09179,3.9258263
66.755,39.390106,15.98505
141.68,101.82138,8.443989
27.15,76.870834,6.9481826
25.0,64.77159,18.725235
42.67,33.73737,10.395557
51.935,35.48974,10.144435
31.45,36.8043,2.801452
83.7822,71.59637,16.517313
70.0159,61.190075,13.909079
16.11,32.019962,17.625486
63.765,32.77715,13.580002
4.5,29.862225,8.50114
1.861990415,3.6916425,3.897199
40.75,39.058815,7.7473073
43.895,21.668762,8.747956
3.231130599,10.616223,6.0229855
1.07815376,4.780269,2.56238
25.14522148,18.01945,3.947086
135.4,63.85114,7.72307
18.195,29.229498,10.184834
1.392842835,5.0255265,4.43181
49.5,32.418148,6.1279287
64.0046,60.633896,14.057936
22.4518357,6.9314103,2.319448
24.65575069,3.880385,2.1957254
59.0,18.83193,10.253585
2.0,7.5105577,15.987361
53.16,49.700718,8.427026
61.8473,89.67051,7.3925915
100.1899,59.31877,6.575419
3.910018672,6.8136415,5.811016
82.4345,54.6046,7.9860883
52.465,41.334705,12.342374
40.1,21.80399,21.320736
76.825,67.37058,9.57353
3.245923644,3.3225458,3.322364
15.14845331,22.141254,7.1762843
62.8,63.85114,7.72307
4.397203234,10.09555,3.473575
50.7,43.695755,10.598678
36.34,45.250954,12.350406
31.9,29.41285,8.827212
110.33,46.52102,19.199837
25.075,21.72844,10.982746
11.81567853,10.266372,2.0170867
39.58,37.545204,2.426585
65.5,47.203583,11.387719
55.995,56.238873,6.0796547
4.693793781,9.02846,7.583193
22.565,20.713694,8.130098
40.58,68.06595,23.531023
21.825,45.724052,9.742729
15.8311148,12.821978,5.063556
52.075,49.92536,10.8799925
6.34,41.901688,9.517247
74.275,79.75313,30.283716
30.3,17.545626,6.6152916
4.8,19.799541,19.64804
215.2,78.590675,17.432503
31.1,75.02853,25.344357
7.385,21.750725,17.670628
57.73,31.548634,10.936259
83.848,81.65418,3.5380569
17.7,11.499263,8.973803
10.575,13.226213,18.827326
60.9,65.09179,3.9258263
44.385,32.159744,11.991901
5.477369767,13.37119,5.394099
19.83999641,15.427918,5.20334
25.71988818,10.8718815,3.6365335
62.228,60.60985,22.883577
99.5601,85.59313,14.107917
33.97,37.545204,2.426585
14.4415149,15.717125,7.2860646
107.315,34.73096,12.516785
36.32,28.618305,9.472086
3.5,17.498512,14.094968
24.73526357,10.014295,5.2263417
17.655,11.860775,4.620649
12.19664079,10.321572,2.128411
58.6748,56.428413,7.620779
1.673022482,5.0255265,4.43181
29.845,59.31877,6.575419
5.334893437,7.7915215,4.627566
76.9945,54.6046,7.9860883
3.733999899,5.7988563,6.116187
113.075,84.267334,6.9163065
0.319285775,2.1922219,2.866339
12.46485663,14.121685,2.9181888
77.7709,77.66145,7.661852
1.120334373,7.64001,4.2256203
16.8,37.894764,13.660927
1.905,17.993357,12.742475
6.994364998,7.668289,2.4395154
2.635,13.6609745,9.734528
12.535,46.900314,16.400574
11.2,36.8043,2.801452
8.822551755,6.89404,3.5092888
46.59,39.289814,10.847881
30.075,26.976013,19.7032
24.395,28.761118,11.17175
49.025,42.544037,17.478653
9.005,21.658768,9.580598
87.6,76.80309,16.478092
18.175,59.646626,9.832618
36.5155,63.35226,11.870283
67.125,43.394554,7.549454
29.6,36.8043,2.801452
8.299941319,7.668289,2.4395154
4.266163474,13.622145,10.030808
38.05,36.8043,2.801452
21.44084199,13.557099,3.2422256
54.24,45.05387,11.130325
33.0598,33.42353,2.1929038
88.0075,65.66183,12.287923
38.525,40.84669,10.355535
2.765753852,8.344744,1.8135859
9.259711555,6.777335,3.9678648
9.455,56.238873,6.0796547
1.311689661,6.374107,3.8680773
7.485,22.25546,20.222052
10.95317157,18.220236,7.681879
10.865,10.367471,6.671502
8.75,20.514925,8.455221
0.212881668,9.264218,8.8911915
5.905,35.60971,10.747198
8.205,46.900314,16.400574
38.66034658,21.321877,7.9286094
64.85,54.00921,9.143729
45.365,61.96282,10.407253
47.95,37.716488,5.426459
15.25,36.8043,2.801452
19.92392291,20.314259,11.883802
76.7792,71.85556,13.955771
76.093,66.77396,12.657775
72.1,59.31877,6.575419
5.2,33.893036,10.865934
32.295,61.22325,12.045494
19.2,47.78233,12.643272
19.375,56.238873,6.0796547
114.33,28.303055,11.005232
33.38442615,14.537997,5.5708184
71.075,38.30905,17.368132
61.85,77.3982,56.275974
34.11824143,14.140064,6.6477594
56.7945,19.62689,9.691087
27.2086694,11.512043,5.998294
54.14,38.638145,8.034807
58.8,67.37058,9.57353
33.0457,38.65331,9.22893
54.515,42.210045,6.562968
105.715,54.6046,7.9860883
20.50708978,11.081466,2.7046907
5.628599421,6.110421,2.538813
7.922419192,11.346183,8.742891
6.963811875,12.0267935,3.451405
0.149562306,5.037022,4.403752
36.615,37.716488,5.426459
2.934281605,6.9779644,5.831072
12.26,20.199945,6.529576
30.9,63.012905,10.248888
131.425,106.39819,22.003246
21.34,40.376297,8.70884
7.72,32.14784,26.529985
1.775,6.5781837,4.9862833
57.605,25.628717,8.999044
36.985,40.673912,12.4253025
8.574996608,5.7988563,6.116187
7.92,29.95234,20.50549
104.45,93.83947,20.341705
1.341927835,5.826297,3.490633
36.29635766,17.120445,6.3597703
4.771321053,15.066974,6.108154
95.565,86.15872,16.378548
6.307421736,5.0519576,2.545826
6.073780144,10.536395,2.5866714
67.0,18.83193,10.253585
11.29890109,8.006501,2.881045
17.47279925,14.438218,10.793762
2.870535473,2.9092836,5.4890122
113.4157,59.31877,6.575419
33.409,91.600334,9.676868
25.605,43.394554,7.549454
37.5,36.8043,2.801452
24.6494082,27.486792,9.809921
53.64,26.458101,10.475721
41.015,39.84065,7.039987
0.214954262,4.4583516,2.1521738
1.197900713,3.5780444,3.2403572
9.325,55.774105,8.597966
59.5302,50.696255,12.7800045
23.65,36.8043,2.801452
27.37180458,11.276734,3.2648637
0.216001613,5.516371,4.064843
60.9355,46.430626,8.698248
2.595,43.91089,10.728816
68.55,67.37058,9.57353
0.263961329,8.899871,6.9332867
32.25,67.37058,9.57353
40.76,68.55087,13.317425
8.275,67.26174,31.928238
155.78,101.57035,43.15124
32.52,39.603725,10.352785
55.8219,49.162163,9.598988
20.09,41.003185,9.165955
98.725,42.852673,8.8712845
50.55,47.203583,11.387719
38.25,42.210045,6.562968
17.7885566,9.15193,2.635648
135.75,77.3982,56.275974
10.37,18.994392,13.808257
5.2,9.824939,5.230425
8.585,35.47502,10.012212
140.875,106.39819,22.003246
25.11,44.254135,10.034744
55.06,36.632557,6.768823
28.6465,30.043737,4.66403
8.97,36.587112,12.017899
14.675,33.33664,19.607964
9.829955723,8.238171,3.1899438
6.8,28.59401,12.219143
7.91744116,4.0341506,4.1669664
15.58,32.630096,11.341817
39.17,51.044228,9.276107
5.225009504,9.385508,2.5136082
13.73,22.53431,13.689144
64.95,70.150795,14.297283
18.80406243,13.823834,7.4584684
22.01127404,16.236238,7.7275963
2.66,12.44309,13.033495
26.64832927,5.1031256,2.31562
12.435,22.004433,9.904306
67.58,72.68293,12.554549
222.02,103.15797,69.68519
34.805,59.31877,6.575419
82.45,65.20564,17.686626
36.7,36.8043,2.801452
22.98,25.313835,9.994205
44.835,49.911076,11.936306
107.565,76.870834,6.9481826
95.315,42.210045,6.562968
14.74479717,22.049278,9.016865
87.1,77.3982,56.275974
2.509310143,6.752128,2.1265028
71.064,89.67051,7.3925915
